user_code, start_station, end_station, price, start_time, end_time
888323933,Gangxia North,Liutang,6.0,2023-05-06 22:31:01,2023-05-06 23:26:01
889470728,Qiaoxiang,Tangwei,8.0,2024-02-25 14:53:37,2024-02-25 15:09:37
886740999,He'ao,Bao'an Passenger Transport Terminal,9.0,2023-11-29 13:30:14,2023-11-29 13:39:14
885038633,Chiwan,Sungang,7.0,2023-06-20 14:50:26,2023-06-20 15:14:26
885788152,Zhucun,Nantou Ancient City,7.0,2023-08-30 14:46:25,2023-08-30 14:54:25
888026112,Futian Checkpoint,Convention & Exhibition Center,2.0,2023-04-17 16:38:45,2023-04-17 17:23:45
883869916,Huanggekeng  station,Nanshan,9.0,2023-03-09 09:30:51,2023-03-09 10:03:51
881919801,Huaguoshan,Xili,5.0,2023-07-21 09:43:03,2023-07-21 10:26:03
881732443,Buji,Luohu,4.0,2023-02-17 16:54:21,2023-02-17 17:22:21
884879602,Heshuikou,Jingtian,9.0,2023-02-22 15:53:03,2023-02-22 16:08:03
883935898,Jixiang,Huanancheng,8.0,2023-03-26 11:44:16,2023-03-26 12:41:16
889978455,Xiaomeisha,Hongshan,9.0,2023-08-06 06:48:26,2023-08-06 07:48:26
889708619,Sungang,Huaide,9.0,2023-06-10 21:50:54,2023-06-10 22:38:54
885052610,Hongling North,Hanling,3.0,2024-02-02 11:35:56,2024-02-02 11:49:56
885146271,Zhuzilin,Yihai,5.0,2023-08-31 15:51:15,2023-08-31 15:52:15
884051804,Xin'an Park,Hongling,6.0,2023-12-04 08:53:33,2023-12-04 09:37:33
889077025,Guomao,Zhucun,7.0,2023-11-12 15:56:48,2023-11-12 16:51:48
885939979,Shenzhen University South,Honglang North,4.0,2023-05-25 21:42:35,2023-05-25 21:42:35
887434469,Nantou Ancient City,Tangkeng,8.0,2023-07-24 19:59:25,2023-07-24 20:44:25
886952500,Heshuikou,Shajing,4.0,2023-10-08 17:39:26,2023-10-08 18:31:26
889591289,Sungang,Daxin,6.0,2023-08-06 20:44:19,2023-08-06 20:48:19
883582209,Honglang North,Nanyou West,4.0,2023-01-13 16:34:11,2023-01-13 17:26:11
889580616,He'ao,Huaguoshan,9.0,2023-03-22 09:51:07,2023-03-22 10:21:07
888951694,Pingshan Center,Songyuanxia,11.0,2023-07-13 08:43:02,2023-07-13 08:45:02
888802047,Xiaomeisha,Grand Theater,7.0,2023-05-31 15:31:00,2023-05-31 15:33:00
881817617,Nanlian,Baolong,5.0,2023-02-22 10:57:23,2023-02-22 11:43:23
883006707,Tanglang, Shengping Station,8.0,2023-12-22 08:34:38,2023-12-22 08:59:38
886461571,Shatoujiao,Xiameilin,6.0,2024-01-29 09:38:49,2024-01-29 10:37:49
887071892,Zhangbei,Yinhu,7.0,2024-02-03 11:59:16,2024-02-03 12:01:16
889992514,Hi-Tech Park,Pingshan wei,10.0,2024-01-21 12:44:56,2024-01-21 13:18:56
881777098,Huaguoshan,Fanshen,4.0,2024-01-05 18:54:38,2024-01-05 18:54:38
886388423,Civic Center,Tangkeng,6.0,2023-05-09 11:42:16,2023-05-09 12:15:16
883442309,Zhuzilin,Xiangxicun,5.0,2023-10-12 08:55:17,2023-10-12 09:40:17
882071084,Xin'an,Yantian Rd,9.0,2023-09-19 14:42:52,2023-09-19 15:16:52
882979704,Shangjing Station,Cuizhu,7.0,2023-10-16 14:32:19,2023-10-16 14:54:19
881489266,Menghai,Qianhaiwan,2.0,2023-06-18 09:58:06,2023-06-18 10:37:06
881465391,Nanyou West,Mumianwan,7.0,2023-08-08 12:54:27,2023-08-08 13:34:27
882710673,Haiyue,Tianbei,6.0,2023-08-27 16:41:18,2023-08-27 17:32:18
885548863,Ailian,Hanling,7.0,2023-07-02 09:33:24,2023-07-02 09:53:24
887627205,Shawei,Luohu,4.0,2023-04-07 15:50:11,2023-04-07 16:00:11
882734530,Zuopaotai East,Tanglang,7.0,2023-02-10 22:58:16,2023-02-10 23:55:16
883977670,Nanyou,Xiangmi,5.0,2023-07-20 20:45:42,2023-07-20 20:54:42
889297167,Liantang Checkpoint,Liuyue,5.0,2023-11-20 09:56:25,2023-11-20 10:34:25
885661448,Qiaocheng North,Xinhe Station,10.0,2023-10-25 09:36:54,2023-10-25 10:23:54
881980592,Buxin,Lianhua North,4.0,2023-03-24 08:36:40,2023-03-24 09:09:40
886587588,Bihaiwan,Xiangmei North,6.0,2023-06-19 22:43:51,2023-06-19 23:33:51
889903792,Xili,Pingshan Center,10.0,2023-06-11 21:57:21,2023-06-11 22:34:21
883035714,Zhongwu South,Yinhu,7.0,2024-02-01 15:30:39,2024-02-01 16:13:39
884984048,Liuyue North,Shiyaling,3.0,2023-10-15 18:57:26,2023-10-15 19:17:26
889489426,Fanshen,Shangsha,6.0,2023-09-11 10:46:46,2023-09-11 11:33:46
887049046,Shuibei,Luohu,3.0,2023-02-13 06:57:08,2023-02-13 07:45:08
883183313,Lianhua North,Yantian Rd,7.0,2023-07-16 22:49:43,2023-07-16 23:12:43
886636732,Fuhai West,Shutianpu,6.0,2023-08-16 16:42:42,2023-08-16 17:03:42
883197658,Xuexiang,Shenzhen North Station,4.0,2023-03-01 07:46:02,2023-03-01 08:30:02
884568733,Bantian,Shangsha,5.0,2023-08-07 09:40:04,2023-08-07 10:10:04
887661371,Minzhi,Yuehaimen,6.0,2024-03-22 07:41:21,2024-03-22 07:51:21
886976807,Huanggang Checkpoint,Bao'an,6.0,2024-03-08 08:55:24,2024-03-08 09:47:24
884803312,Shangwu,Window of the World,7.0,2023-07-27 06:55:57,2023-07-27 07:24:57
881977639,Henggang,Xiangxicun,6.0,2024-02-18 06:39:54,2024-02-18 06:50:54
885455960,Hongshuwan,Yabao,6.0,2024-03-18 22:57:28,2024-03-18 23:52:28
883006099,Convention & Exhibition Center,Waterlands Resort South,9.0,2024-02-24 18:52:51,2024-02-24 19:46:51
881626133,Civic Center,Nanlian,7.0,2024-02-19 11:54:38,2024-02-19 12:31:38
888781286,Buxin,Railway Park,8.0,2023-10-02 07:45:04,2023-10-02 07:46:04
881984823,Shangtang,Shuanglong Station,8.0,2023-09-10 12:46:18,2023-09-10 13:22:18
889922240,Qiaoxiang,Danzhutou,6.0,2023-07-10 06:58:39,2023-07-10 07:19:39
887313534,Fumin,Baolongtongle Station,8.0,2023-08-21 08:50:49,2023-08-21 08:50:49
884439142,Longyuan Station,Qinghu North,9.0,2023-04-19 07:36:07,2023-04-19 07:54:07
887726201,Yuyuan  station,Mugu,9.0,2023-11-15 17:59:02,2023-11-15 18:40:02
886926748,Qiaotou West,Mawan,7.0,2024-01-02 20:51:39,2024-01-02 21:08:39
887221932,Fenghuang Town,Science Park,3.0,2023-03-31 21:58:18,2023-03-31 22:13:18
886137165,Huaqiang North,Shuibei,3.0,2023-08-26 17:46:08,2023-08-26 17:50:08
886309149,Huaqiang North,Huaide,8.0,2023-06-11 13:33:47,2023-06-11 14:20:47
883021764,Taiziwan,Waterlands Resort South,8.0,2023-11-11 21:39:21,2023-11-11 22:35:21
887183732,Qianhaiwan,Maling,6.0,2023-05-13 22:52:21,2023-05-13 23:06:21
881153658,Buxin,Shuiwan,7.0,2024-02-16 20:55:08,2024-02-16 20:57:08
884471407,Shatoujiao,Honganwei,3.0,2023-07-03 18:36:01,2023-07-03 19:01:01
881101461,Huaqiang Rd,Yonghu,6.0,2024-03-19 06:35:36,2024-03-19 07:18:36
886228280,Litchi Orchards,Zhangbei,9.0,2023-06-10 21:59:39,2023-06-10 22:31:39
888992248,Qiaotou West,Sports Center,9.0,2023-08-20 20:33:58,2023-08-20 21:10:58
886266711,Xiangmihu,Songgang,9.0,2024-01-19 20:33:33,2024-01-19 21:15:33
889293681,Shenkang,Futian Checkpoint,4.0,2023-10-11 07:54:16,2023-10-11 08:17:16
889886449,Nanshan Book Mall,Huanancheng,8.0,2024-02-10 18:50:55,2024-02-10 19:28:55
882208126,Honglang North,Bao'an Stadium,3.0,2024-01-14 22:37:28,2024-01-14 23:10:28
883226183,Meilinguan,Lingzhi,6.0,2023-07-20 06:31:54,2023-07-20 07:27:54
884222132,Shangshuijing,Danzhutou,3.0,2023-04-19 22:35:38,2023-04-19 22:43:38
886566244,Danzhutou,Renmin South,5.0,2023-04-16 12:35:37,2023-04-16 13:04:37
888729776,Maling,Nantou Ancient City,6.0,2024-03-06 21:49:27,2024-03-06 22:14:27
882311650,Grand Theater,Qianwan,7.0,2024-03-12 18:34:55,2024-03-12 18:50:55
889323156,Universiade Center,Xikeng,8.0,2024-01-30 10:58:24,2024-01-30 11:34:24
887509548,Tanglang,Fuyong,7.0,2024-02-18 12:52:11,2024-02-18 13:23:11
886207998,Lingzhi,Yitian,6.0,2023-08-06 19:51:05,2023-08-06 20:28:05
888747363,Window of the World,Yihai,4.0,2024-02-19 16:46:37,2024-02-19 17:44:37
884715302,Convention & Exhibition City,Jinlong,13.0,2023-09-08 09:55:15,2023-09-08 10:33:15
882447206,Liuhe station,SIAT,12.0,2023-01-13 17:56:02,2023-01-13 18:23:02
888086594,Xin'an,Chiwei,6.0,2023-01-23 07:41:41,2023-01-23 08:32:41
885760011,Yabao,Changlong,4.0,2023-11-08 12:47:02,2023-11-08 13:22:02
885408619,Bihaiwan,Convention & Exhibition City,6.0,2024-01-16 19:40:49,2024-01-16 20:20:49
883662916,Sea World,Gongming Square,9.0,2024-03-16 22:37:21,2024-03-16 23:36:21
889105550,Ailian,SIAT,11.0,2023-04-19 19:55:29,2023-04-19 20:50:29
883329127,Mugu,Shangfen,6.0,2023-06-04 22:30:24,2023-06-04 22:59:24
889613853,Waterlands Resort East,Qianwan Park,7.0,2023-11-18 18:40:17,2023-11-18 18:54:17
886010704,Yangmei,Xuexiang,3.0,2023-03-30 07:52:33,2023-03-30 08:03:33
882644898,Changlong,Bao'an,7.0,2024-02-20 15:38:33,2024-02-20 15:59:33
887758536,Dongjiaotou,Shanglilang,8.0,2023-10-02 09:56:46,2023-10-02 10:02:46
886417680,Huaqiang Rd,Shenzhen World North,9.0,2024-02-16 08:51:26,2024-02-16 09:33:26
885743650,Shangwu,  Longcheng Park,9.0,2023-04-16 14:31:32,2023-04-16 14:54:32
883840854,Huaqiang North,Dameisha,7.0,2023-08-03 13:57:48,2023-08-03 14:14:48
881134830,Chaguang,Shangmeilin,5.0,2023-02-11 16:44:39,2023-02-11 16:56:39
886683525,Xixiang,Yonghu,9.0,2023-05-09 15:47:18,2023-05-09 16:41:18
884414016,Luohu,Shangchuan,7.0,2023-02-05 21:39:46,2023-02-05 22:08:46
887759143,Huaguoshan,Wanxia,3.0,2023-11-30 15:36:48,2023-11-30 16:34:48
882132097,Shatoujiao,Mugu,8.0,2023-11-27 10:54:44,2023-11-27 11:24:44
884087660,Futian Checkpoint,Bitou,10.0,2023-11-07 07:32:01,2023-11-07 07:48:01
883744552,Xinxiu,Yihai,7.0,2023-07-23 09:56:58,2023-07-23 10:07:58
889539464,Aobei,Dengliang,8.0,2023-03-24 11:50:39,2023-03-24 12:04:39
888335749,Wutong Mountain South,Sun Yat-sen University,10.0,2023-06-24 06:56:57,2023-06-24 07:23:57
889886156,SIAT,Shenwan,9.0,2023-08-05 17:37:08,2023-08-05 18:31:08
888432884,Hongshuwan South,Yuyuan  station,9.0,2023-05-25 12:55:13,2023-05-25 12:59:13
882680957,Baishilong,Longhua,3.0,2023-01-25 16:55:54,2023-01-25 17:19:54
889841778,Guangming St,Zhuguang,8.0,2023-08-07 11:44:43,2023-08-07 11:52:43
887789064,Hongling South,Baolong,8.0,2023-11-19 17:40:07,2023-11-19 17:41:07
881904527,Kengzi,Mumianwan,8.0,2023-12-04 20:45:34,2023-12-04 21:27:34
886170551,Xingwei,Shajing,5.0,2023-09-06 18:38:53,2023-09-06 19:19:53
885962905,Pinghu,Nantou Ancient City,8.0,2023-09-03 14:43:14,2023-09-03 15:31:14
885935488,Meijing,Danzhutou,6.0,2024-01-31 19:55:34,2024-01-31 20:26:34
882813574,Donggualing,Guanlan,6.0,2023-10-28 19:37:59,2023-10-28 20:18:59
883860554,Guanlan,He'ao,8.0,2023-05-01 19:50:20,2023-05-01 20:08:20
882294187,Tanglang,Shenzhen World North,8.0,2023-09-10 06:54:08,2023-09-10 07:25:08
886973862,Longjing,Liutang,4.0,2023-07-06 20:58:04,2023-07-06 21:03:04
889079354,Shangwu,Loucun,5.0,2023-11-16 19:57:21,2023-11-16 20:53:21
888091414,Qianwan,Chiwan,3.0,2023-06-06 22:55:34,2023-06-06 23:07:34
887065810,Yangmei,Sihai,7.0,2023-05-20 13:39:10,2023-05-20 13:54:10
885569276,Xin'an Park,Changlingpi,5.0,2023-05-05 14:56:22,2023-05-05 15:08:22
881591648,Danzhutou,Sea World,8.0,2024-02-08 18:36:48,2024-02-08 18:49:48
889941673,Mission Hills,Shenzhen University South,8.0,2024-03-19 11:45:44,2024-03-19 12:04:44
886981730,Huangbeiling,Taoyuancun,6.0,2023-07-21 17:33:34,2023-07-21 18:22:34
881227429,Houhai,Tangkeng,8.0,2023-02-17 14:31:44,2023-02-17 15:28:44
889338026,Yantian Port West,Shenwan,7.0,2023-10-14 17:57:47,2023-10-14 18:03:47
886332945,Shijing,ShaTian,5.0,2023-10-14 13:33:05,2023-10-14 14:28:05
888877314,Silian,Songgang Park,10.0,2023-11-29 12:45:29,2023-11-29 12:56:29
886383385,Yanzihu,Changzhen,11.0,2023-09-24 21:55:23,2023-09-24 22:01:23
882500216,Tanglang,Pingluan Hill,5.0,2023-12-18 11:44:02,2023-12-18 11:51:02
887080937,Longcheng Square,Nonglin,8.0,2023-12-08 12:37:08,2023-12-08 13:24:08
881714677,Shatoujiao,Xin'an Park,8.0,2023-08-07 16:49:54,2023-08-07 16:50:54
886286139,Xikeng,Hongshan,4.0,2023-08-13 20:44:14,2023-08-13 21:40:14
888143469,Tai'an,Shaibu,2.0,2023-02-12 09:54:12,2023-02-12 10:46:12
884878649,Guiwan,Hongling,6.0,2023-08-20 12:45:55,2023-08-20 13:37:55
884230325,Honganwei,Guangyayuan,8.0,2023-10-06 11:30:26,2023-10-06 12:11:26
881269627,Pingshan wei,Zhucun,10.0,2024-03-19 12:59:22,2024-03-19 13:13:22
885837119,Grand Theater,Wutong Mountain South,4.0,2023-05-19 08:30:38,2023-05-19 08:31:38
889576470,Linhai,Shijing,11.0,2023-11-09 07:55:53,2023-11-09 08:35:53
888152642,Bagualing,Pingshan wei,8.0,2023-04-20 15:34:38,2023-04-20 15:34:38
887385771,Xiashuijing,Xingdong,6.0,2023-12-25 15:40:33,2023-12-25 16:32:33
883297687,Meilinguan,Yihai,7.0,2023-11-30 22:44:41,2023-11-30 23:12:41
888864483,Niuhu,Jinlong,11.0,2023-08-16 16:33:47,2023-08-16 16:46:47
887903978,Yanzihu,Yannan,9.0,2024-03-02 06:31:59,2024-03-02 06:35:59
881027387,Baohua,Pingzhou,2.0,2023-08-19 13:37:37,2023-08-19 13:51:37
888338575,Xiangxicun,Yonghu,7.0,2023-04-29 07:41:29,2023-04-29 08:34:29
882082439,Waterlands Resort East,Guangming,8.0,2023-05-14 13:32:29,2023-05-14 13:39:29
884852575,Hourui,Nanyou,6.0,2023-05-12 15:42:17,2023-05-12 15:47:17
881617551,Qianwan Park,Honghu,7.0,2023-11-29 15:44:43,2023-11-29 15:52:43
882557831,Pingzhou,Sihai,4.0,2023-10-23 07:43:39,2023-10-23 08:21:39
882926211,Gongming Square,Shenzhen Bay Park,9.0,2023-02-22 18:43:47,2023-02-22 19:04:47
884652188,Shangfen,Huaxin,5.0,2024-02-16 13:35:22,2024-02-16 13:56:22
